wdid,structureName,associatedAkas,ciuCode,structureType,waterSource,gnisId,streamMile,porStart,porEnd,division,waterDistrict,subdistrict,county,latdecdeg,longdecdeg,modified,,,,,,DITCH
3605126,WELL NO P-6614,,A,WELL,GROUNDWATER: BLUE RIVER,173194,,,,5,36,,SUMMIT,39.643769,-106.075328,2006-03-13T11:31:00.0000000,,,,,,
3605127,APPELHANS WELL,,U,WELL,GROUNDWATER: BLUE RIVER,173194,,,,5,36,,SUMMIT,39.534647,-106.039699,2011-04-22T11:47:32.0000000,,,,,,
3605128,DOT PLACER WELL NO 1 - TIMBER CREEK WATER COMPANY,TIMBER CREEK WATER COMPANY,A,WELL,GROUNDWATER: BLUE RIVER,173194,,1987-01-31T00:00:00.0000000,2020-10-31T00:00:00.0000000,5,36,,SUMMIT,39.408248,-106.043918,2017-09-01T11:49:50.2070000,,,,,,
3605129,HIGH TOR CONDO WELL,,U,WELL,GROUNDWATER: BLUE RIVER,173194,,1992-10-31T00:00:00.0000000,1999-10-31T00:00:00.0000000,5,36,,SUMMIT,39.531448,-106.038541,1990-05-02T00:00:00.0000000,,,,,,
3605130,WELL NO 18192,,U,WELL,GROUNDWATER: BLUE RIVER,173194,,,,5,36,,SUMMIT,39.531448,-106.038541,2003-12-30T09:35:00.0000000,,,,,,
3605131,DOT PLACER WELL NO 2 - TIMBER CREEK WATER COMPANY,"GIBRALTER, TIMBER CREEK WATER COMPANY",A,WELL,GROUNDWATER: BLUE RIVER,173194,,1987-01-31T00:00:00.0000000,2020-10-31T00:00:00.0000000,5,36,,SUMMIT,39.408327,-106.0422,2017-09-01T11:50:20.0200000,,,,,,
3605132,WELL NO 25607,,U,WELL,GROUNDWATER: BLUE RIVER,173194,,,,5,36,,SUMMIT,39.531645,-106.033867,2003-12-30T09:36:00.0000000,,,,,,
3605133,BLUE VALLEY RANCH WELL 2,,A,WELL,GROUNDWATER: BLUE RIVER,173194,,,,5,36,,GRAND,40.000839,-106.374997,2014-03-24T20:10:07.7270000,,,,,,
3605134,BLUE VALLEY RANCH HDQT WELL 1,,A,WELL,GROUNDWATER: BLUE RIVER,173194,,,,5,36,,GRAND,39.991506,-106.381779,2015-03-03T16:24:57.7330000,,,,,,
3605135,BLUE VALLEY RANCH IRR SUMP 1,,A,WELL,GROUNDWATER: BLUE RIVER,173194,,,,5,36,,GRAND,40.001065,-106.378727,2015-03-03T16:25:44.4600000,,,,,,
3605136,BLUE VALLEY RANCH IRR SUMP 2,,A,WELL,GROUNDWATER: BLUE RIVER,173194,,,,5,36,,GRAND,39.987007,-106.379768,2015-03-03T16:26:07.0800000,,,,,,
3605137,WHEATON WELL NO 1,,A,WELL,GROUNDWATER: SNAKE RIVER,176197,,,,5,36,,SUMMIT,39.605412,-105.98176,1987-09-24T00:00:00.0000000,,,,,,
3605138,WHEATON WELL NO 2,,A,WELL,GROUNDWATER: SNAKE RIVER,176197,,,,5,36,,SUMMIT,39.605378,-105.981585,1987-09-24T00:00:00.0000000,,,,,,
3605139,WHEATON WELL NO 3,,A,WELL,GROUNDWATER: SNAKE RIVER,176197,,,,5,36,,SUMMIT,39.605243,-105.982585,1987-09-24T00:00:00.0000000,,,,,,
3605140,WILLIAMS WELL,,A,WELL,GROUNDWATER: BLUE RIVER,173194,,,,5,36,,SUMMIT,39.448326,-106.022655,1994-02-04T00:00:00.0000000,,,,,,
3605141,WINCHELL WELL,,A,WELL,GROUNDWATER: BLUE RIVER,173194,,,,5,36,,SUMMIT,39.469359,-106.043633,1994-02-04T00:00:00.0000000,,,,,,
3605142,YATES WELL,,U,WELL,GROUNDWATER: SLATE CREEK,175941,,1998-10-31T00:00:00.0000000,2002-10-31T00:00:00.0000000,5,36,,SUMMIT,39.604088,-105.942454,2004-02-11T14:11:00.0000000,,,,,,
3605143,ALTIMARI WELL,,A,WELL,GROUNDWATER: BLUE RIVER,173194,,1987-10-31T00:00:00.0000000,2002-10-31T00:00:00.0000000,5,36,,SUMMIT,39.460597,-106.005271,1999-03-23T00:00:00.0000000,,,,,,
3605144,BASIN WELL NO 1,,A,WELL,GROUNDWATER: SNAKE RIVER,176197,,,,5,36,,SUMMIT,39.604088,-105.942454,2019-05-09T17:25:29.0530000,,,,,,
3605145,BASIN WELL NO 2,,A,WELL,GROUNDWATER: SNAKE RIVER,176197,,1988-11-30T00:00:00.0000000,1989-10-31T00:00:00.0000000,5,36,,SUMMIT,39.604088,-105.942454,2019-05-09T17:26:03.1170000,,,,,,
3605146,BISBING-ALFORD WELL,,U,WELL,GROUNDWATER: BOULDER CREEK,175929,,1987-10-31T00:00:00.0000000,2002-10-31T00:00:00.0000000,5,36,,SUMMIT,39.737219,-106.15882,2003-12-29T12:53:00.0000000,,,,,,
3605147,BLUE RIVER WELL NO 1,NO NAME WELL,A,WELL,GROUNDWATER: BLUE RIVER,173194,,1989-11-30T00:00:00.0000000,2005-10-31T00:00:00.0000000,5,36,,SUMMIT,39.490824,-106.064246,2007-02-14T15:26:00.0000000,,,,,,
3605148,BLUE RIVER WELL NO 2,SHADOWS WELL,A,WELL,GROUNDWATER: BLUE RIVER,173194,,1990-10-31T00:00:00.0000000,2005-10-31T00:00:00.0000000,5,36,,SUMMIT,39.493141,-106.07098,2007-02-14T15:27:00.0000000,,,,,,
3605149,BLUE RIVER WELL NO 3,WARRIOR'S MARK  (SOUTH),A,WELL,GROUNDWATER: BLUE RIVER,173194,,1988-11-30T00:00:00.0000000,2005-10-31T00:00:00.0000000,5,36,,SUMMIT,39.47047,-106.046358,2007-02-14T15:27:00.0000000,,,,,,
3605150,BLUE RIVER WELL NO 4,SILVER SHEKEL WELL,A,WELL,GROUNDWATER: BLUE RIVER,173194,,1989-11-30T00:00:00.0000000,2005-10-31T00:00:00.0000000,5,36,,SUMMIT,39.521443,-106.047204,2007-02-14T15:27:00.0000000,,,,,,
3605151,BLUE RIVER WELL NO 5,SLOPE WELL (NORTH),A,WELL,GROUNDWATER: BLUE RIVER,173194,,1987-10-31T00:00:00.0000000,2005-10-31T00:00:00.0000000,5,36,,SUMMIT,39.503011,-106.082274,1998-03-04T00:00:00.0000000,,,,,,
3605152,BVA NO 2 WELL,,A,WELL,GROUNDWATER: BLUE RIVER,173194,,1992-10-31T00:00:00.0000000,1999-10-31T00:00:00.0000000,5,36,,GRAND,39.9812,-106.358102,1987-09-24T00:00:00.0000000,,,,,,
3605153,BVR NO 1 WELL,,A,WELL,GROUNDWATER: BLUE RIVER,173194,,1989-10-31T00:00:00.0000000,1999-10-31T00:00:00.0000000,5,36,,GRAND,39.991437,-106.380735,1987-09-24T00:00:00.0000000,,,,,,
3605154,CINNAMON RIDGE WELL NO 1,,A,WELL,GROUNDWATER: SNAKE RIVER,176197,,,,5,36,,SUMMIT,39.609077,-105.9517,2019-04-04T11:42:53.5930000,,,,,,
3605155,CINNAMON RIDGE WELL NO 2,,A,WELL,GROUNDWATER: SNAKE RIVER,176197,,,,5,36,,SUMMIT,39.608133,-105.951454,2019-04-04T11:43:24.5070000,,,,,,
3605156,CINNAMON RIDGE WELL NO 3,,A,WELL,GROUNDWATER: SNAKE RIVER,176197,,,,5,36,,SUMMIT,39.607077,-105.949518,2019-04-04T11:52:42.3470000,,,,,,
3605157,WILLOW BROOK WELL NO 08,,H,WELL,GROUNDWATER: WILLOW CREEK,175976,,2005-10-31T00:00:00.0000000,2006-10-31T00:00:00.0000000,5,36,,SUMMIT,39.636281,-106.086958,2019-04-05T08:42:41.4530000,,,,,,
3605158,WILLOW BROOK WELL NO 11,MARMONT WELL NO 1,A,WELL,GROUNDWATER: WILLOW CREEK,175976,,1987-02-28T00:00:00.0000000,2020-10-31T00:00:00.0000000,5,36,,SUMMIT,39.63816,-106.086428,1995-01-20T00:00:00.0000000,,,,,,
3605159,WILLOW BROOK WELL NO 01,ARTISIAN WELL NO 3,A,WELL,GROUNDWATER: WILLOW CREEK,175976,,1988-11-30T00:00:00.0000000,2012-10-31T00:00:00.0000000,5,36,,SUMMIT,39.647293,-106.088692,1995-01-20T00:00:00.0000000,,,,,,
3605160,WILLOW BROOK WELL NO 2,JUNCTION WELL NO 2,A,WELL,GROUNDWATER: WILLOW CREEK,175976,,1987-02-28T00:00:00.0000000,2020-10-31T00:00:00.0000000,5,36,,SUMMIT,39.641134,-106.088363,2014-03-31T17:30:34.2670000,,,,,,
3605161,KEYSTONE WELL A,,H,WELL,GROUNDWATER: SNAKE RIVER,176197,,1983-11-30T00:00:00.0000000,1985-10-31T00:00:00.0000000,5,36,,SUMMIT,39.608088,-105.952909,2015-04-01T11:05:14.0530000,,,,,,
3605162,KEYSTONE WELL B,,H,WELL,GROUNDWATER: SNAKE RIVER,176197,,1983-11-30T00:00:00.0000000,1985-10-31T00:00:00.0000000,5,36,,SUMMIT,39.608088,-105.952909,2015-04-01T11:05:26.5030000,,,,,,
3605163,KEYSTONE WELL C,,H,WELL,GROUNDWATER: SNAKE RIVER,176197,,1983-11-30T00:00:00.0000000,1985-10-31T00:00:00.0000000,5,36,,SUMMIT,39.608088,-105.952909,2015-04-01T11:05:48.8800000,,,,,,
3605164,KEYSTONE WELL D,,H,WELL,GROUNDWATER: SNAKE RIVER,176197,,1983-11-30T00:00:00.0000000,1985-10-31T00:00:00.0000000,5,36,,SUMMIT,39.608088,-105.952909,2015-04-01T11:06:05.6300000,,,,,,
3605165,KEYSTONE WELL E,,H,WELL,GROUNDWATER: SNAKE RIVER,176197,,1983-11-30T00:00:00.0000000,1985-10-31T00:00:00.0000000,5,36,,SUMMIT,39.608088,-105.952909,2015-04-01T11:07:44.3570000,,,,,,
3605166,TIEZE WELL NO 3,,H,WELL,GROUNDWATER: SNAKE RIVER,176197,,1986-11-30T00:00:00.0000000,1990-10-31T00:00:00.0000000,5,36,,SUMMIT,39.608088,-105.952909,2015-04-01T11:08:38.0130000,,,,,,
3605167,WELL NO 1 (GIBRALTOR),,I,WELL,GROUNDWATER: BLUE RIVER,173194,,1991-11-30T00:00:00.0000000,1998-07-31T00:00:00.0000000,5,36,,SUMMIT,39.404871,-106.040622,1999-03-23T00:00:00.0000000,,,,,,
3605168,WELL NO 2 (GIBRALTOR),,I,WELL,GROUNDWATER: BLUE RIVER,173194,,1991-11-30T00:00:00.0000000,1998-07-31T00:00:00.0000000,5,36,,SUMMIT,39.408492,-106.040834,1999-03-23T00:00:00.0000000,,,,,,
3605169,MAID OF ORLEANS SPRING,,A,SPRING,PERU CREEK,181824,,,,5,36,,SUMMIT,39.603264,-105.850264,1987-05-05T00:00:00.0000000,,,,,,
3605170,MCKEE SPRING,,A,SPRING,BLUE RIVER,173194,,1992-10-31T00:00:00.0000000,1997-10-31T00:00:00.0000000,5,36,,SUMMIT,39.757637,-106.125705,1987-05-05T00:00:00.0000000,,,,,,
3605171,FLANIGAN SPRING NO 1,,A,SPRING,BLUE RIVER,173194,,1989-10-31T00:00:00.0000000,1998-10-31T00:00:00.0000000,5,36,,SUMMIT,39.869568,-106.309935,1987-05-05T00:00:00.0000000,,,,,,
3605172,ASPENRIDGE WELL NO 1,,H,WELL,GROUNDWATER: SNAKE RIVER,176197,,,,5,36,,SUMMIT,39.609986,-105.947449,2015-04-01T11:09:54.5430000,,,,,,
3605173,ASPENRIDGE WELL NO 2,,A,WELL,GROUNDWATER: SNAKE RIVER,176197,,,,5,36,,SUMMIT,39.609095,-105.951723,2019-05-09T17:31:00.4870000,,,,,,
3605174,BLUMENHEIN WELL NO 2,"BILLS RANCH WELL FIELD, PERMIT 77652-F",A,WELL,GROUNDWATER: MINERS CREEK,176232,,,,5,36,,SUMMIT,39.570124,-106.090372,2017-02-22T13:22:07.2400000,,,,,,
3605175,EBERHARD WELL,,A,WELL,GROUNDWATER: SHANE GULCH,175692,,1988-10-31T00:00:00.0000000,1999-10-31T00:00:00.0000000,5,36,,SUMMIT,39.837932,-106.240532,1987-05-05T00:00:00.0000000,,,,,,
3605176,FRISCO WELL NO 4,TOWN OF FRISCO,A,WELL,GROUNDWATER: TENMILE CREEK,176191,,1986-05-31T00:00:00.0000000,2010-10-31T00:00:00.0000000,5,36,,SUMMIT,39.577074,-106.092017,1992-11-04T00:00:00.0000000,,,,,,
3605177,FRISCO WELL NO 5,TOWN OF FRISCO,A,WELL,GROUNDWATER: TENMILE CREEK,176191,,1988-05-31T00:00:00.0000000,2020-10-31T00:00:00.0000000,5,36,,SUMMIT,39.585749,-106.100736,1992-11-04T00:00:00.0000000,,,,,,
3605178,FRY WELL NO 1,,U,WELL,GROUNDWATER: BLUE RIVER,173194,,1987-10-31T00:00:00.0000000,1991-10-31T00:00:00.0000000,5,36,,GRAND,39.955777,-106.348016,2003-12-29T12:56:00.0000000,,,,,,
3605179,GOOD WELL NO 1,SNAKE RIVER WATER DISTRICT WELL,A,WELL,GROUNDWATER: SNAKE RIVER,176197,,1988-10-31T00:00:00.0000000,1996-10-31T00:00:00.0000000,5,36,,SUMMIT,39.605278,-105.950308,1987-05-05T00:00:00.0000000,,,,,,
3605180,GORMAN WELL NO 1,,U,WELL,GROUNDWATER: BLUE RIVER,173194,,1987-10-31T00:00:00.0000000,2002-10-31T00:00:00.0000000,5,36,,SUMMIT,39.64393,-106.070558,2003-12-29T12:54:00.0000000,,,,,,
3605181,HORIUCHI WELL NO 1,,U,WELL,GROUNDWATER: BLUE RIVER,173194,,1987-10-31T00:00:00.0000000,2002-10-31T00:00:00.0000000,5,36,,SUMMIT,39.422003,-106.04147,2003-12-29T12:55:00.0000000,,,,,,
3605182,HUSTON WELL NO 1,,U,WELL,GROUNDWATER: BLUE RIVER,173194,,1987-10-31T00:00:00.0000000,2002-10-31T00:00:00.0000000,5,36,,SUMMIT,39.395672,-106.04308,2003-12-29T12:55:00.0000000,,,,,,
3605183,KEYSTONE WELL NO 1,KEYSTONE RANCH WELL NO 1,A,WELL,GROUNDWATER: SODA CREEK,176198,,1985-10-31T00:00:00.0000000,2020-10-31T00:00:00.0000000,5,36,,SUMMIT,39.578671,-105.994353,1995-01-20T00:00:00.0000000,,,,,,
3605184,KEYSTONE WELL NO 2,KEYSTONE RANCH WELL NO 2,A,WELL,GROUNDWATER: SODA CREEK,176198,,1985-10-31T00:00:00.0000000,1990-10-31T00:00:00.0000000,5,36,,SUMMIT,39.581955,-105.993911,1995-01-20T00:00:00.0000000,,,,,,
3605185,KEYSTONE WELL NO 3,KEYSTONE RANCH WELL NO 3,A,WELL,GROUNDWATER: SODA CREEK,176198,,1985-10-31T00:00:00.0000000,2020-10-31T00:00:00.0000000,5,36,,SUMMIT,39.581964,-105.993911,1995-01-20T00:00:00.0000000,,,,,,
3605186,LANCER WELL NO 2,,U,WELL,GROUNDWATER: BLUE RIVER,173194,,1992-10-31T00:00:00.0000000,2002-10-31T00:00:00.0000000,5,36,,SUMMIT,39.388565,-106.054155,2003-12-29T12:52:00.0000000,,,,,,
3605187,MESA CORTINA WELL NO 4,,A,WELL,GROUNDWATER: BLUE RIVER,173194,,1988-11-30T00:00:00.0000000,2020-10-31T00:00:00.0000000,5,36,,SUMMIT,39.621803,-106.100305,2008-03-24T16:36:11.4700000,,,,,,
3605188,MESA CORTINA WELL NO 5,,A,WELL,GROUNDWATER: BLUE RIVER,173194,,1988-11-30T00:00:00.0000000,2010-10-31T00:00:00.0000000,5,36,,SUMMIT,39.622307,-106.088813,2008-03-24T13:05:14.3670000,,,,,,
3605189,MESA CORTINA WELL NO 6,,A,WELL,GROUNDWATER: BLUE RIVER,173194,,1988-11-30T00:00:00.0000000,2020-09-30T00:00:00.0000000,5,36,,SUMMIT,39.622206,-106.094812,2008-03-24T13:10:24.1570000,,,,,,
3605190,SILVERTHORNE WELL NO 05,BIGHORN,A,WELL,GROUNDWATER: BLUE RIVER,173194,,1986-12-31T00:00:00.0000000,2020-10-31T00:00:00.0000000,5,36,,SUMMIT,39.644637,-106.078908,2006-02-07T10:35:00.0000000,,,,,,
3605191,SILVERTHORNE WELL NO 06,BIGHORN,A,WELL,GROUNDWATER: BLUE RIVER,173194,,2016-11-30T00:00:00.0000000,2020-10-31T00:00:00.0000000,5,36,,SUMMIT,39.643694,-106.078578,2006-02-07T11:04:00.0000000,,,,,,
3605192,SILVERTHORNE WELL NO 07,,A,WELL,GROUNDWATER: BLUE RIVER,173194,,,,5,36,,SUMMIT,39.639002,-106.074462,2006-02-07T11:06:00.0000000,,,,,,
3605193,SILVERTHORNE WELL NO 08,,A,WELL,GROUNDWATER: BLUE RIVER,173194,,,,5,36,,SUMMIT,39.643479,-106.076465,2006-02-07T11:08:00.0000000,,,,,,
3605194,SILVERTHORNE WELL NO 09,,A,WELL,GROUNDWATER: BLUE RIVER,173194,,,,5,36,,SUMMIT,39.638453,-106.073334,2006-02-07T11:10:00.0000000,,,,,,
3605195,SILVERTHORNE WELL NO 10,,A,WELL,GROUNDWATER: BLUE RIVER,173194,,,,5,36,,SUMMIT,39.637658,-106.073648,2006-02-07T11:12:00.0000000,,,,,,
3605196,SILVERTHORNE WELL NO 11,,A,WELL,GROUNDWATER: BLUE RIVER,173194,,,,5,36,,SUMMIT,39.637094,-106.074211,2006-02-07T11:18:00.0000000,,,,,,
3605197,SPRING CREEK RANCH WELL 4-R,"ELK DANCE COLORADO LLC, MAIN WELL - SHADOW CREEK RANCH, SHADOW CREEK RANCH",A,WELL,GROUNDWATER: DEEP CREEK,175618,,1995-04-01T00:00:00.0000000,2003-10-31T00:00:00.0000000,5,36,,SUMMIT,39.904765,-106.355644,2016-02-23T15:57:19.7970000,,,,,,
3605198,SPRING CREEK RANCH WELL 5,"ELK DANCE COLORADO LLC, SHADOW CREEK RANCH",A,WELL,GROUNDWATER: SPRING CREEK,175603,,,,5,36,,SUMMIT,39.892942,-106.37809,2012-11-23T11:44:46.8470000,,,,,,
3605199,SPRING CREEK RANCH WELL 6,"ELK DANCE COLORADO LLC, SHADOW CREEK RANCH",A,WELL,GROUNDWATER: SPRING CREEK,175603,,,,5,36,,SUMMIT,39.896134,-106.367135,2012-11-23T11:44:57.2930000,,,,,,
3605200,SPRING CREEK RANCH WELL 7,"ELK DANCE COLORADO LLC, SHADOW CREEK RANCH WELL NO 2",A,WELL,GROUNDWATER: SPRING CREEK,175603,,2015-10-31T00:00:00.0000000,2020-10-31T00:00:00.0000000,5,36,,SUMMIT,39.89294,-106.378183,2012-11-23T11:45:06.2830000,,,,,,
3605201,SPRINGER WELL NO 1,,A,WELL,GROUNDWATER: SNAKE RIVER,176197,,,,5,36,,SUMMIT,39.607556,-105.955884,2015-04-02T10:22:45.7400000,,,,,,
3605202,TIEZE WELL NO 1,,A,WELL,GROUNDWATER: SNAKE RIVER,176197,,1988-01-31T00:00:00.0000000,1996-10-31T00:00:00.0000000,5,36,,SUMMIT,39.604482,-105.952813,1987-05-05T00:00:00.0000000,,,,,,
3605203,TIEZE WELL NO 2,,A,WELL,GROUNDWATER: SNAKE RIVER,176197,,1988-01-31T00:00:00.0000000,1990-09-30T00:00:00.0000000,5,36,,SUMMIT,39.608122,-105.952887,1987-05-05T00:00:00.0000000,,,,,,
3605204,TOURNIER WELL,,A,WELL,GROUNDWATER: TENMILE CREEK,176191,,1987-10-31T00:00:00.0000000,2002-10-31T00:00:00.0000000,5,36,,SUMMIT,39.580334,-106.100743,1987-05-05T00:00:00.0000000,,,,,,
3605205,KEY CONDO WELL NO 1,,A,WELL,GROUNDWATER: BLUE RIVER,173194,,,,5,36,,SUMMIT,39.605419,-105.949518,2015-04-02T10:24:39.8200000,,,,,,
3605206,KEY CONDO WELL NO 2,,A,WELL,GROUNDWATER: BLUE RIVER,173194,,,,5,36,,SUMMIT,39.605281,-105.948829,2015-04-02T10:25:11.5400000,,,,,,
3605207,KEY CONDO WELL NO 3,,A,WELL,GROUNDWATER: BLUE RIVER,173194,,,,5,36,,SUMMIT,39.605732,-105.949802,2015-04-02T10:26:00.3930000,,,,,,
3605208,KEY CONDO WELL NO 4,,A,WELL,GROUNDWATER: BLUE RIVER,173194,,,,5,36,,SUMMIT,39.605834,-105.949454,2015-04-02T10:26:22.8570000,,,,,,
3605209,SUMMIT MOTOR INN WELL NO 24989-F,"INN AT FAIRWAYS AUG PLAN, LOFTS @ TEN PEAKS (FORMER OWNER), LOGE BRECKENRIDGE, RADIFY BRECKENRIDGE DBA LOGE AT BRECKENRIDGE",A,WELL,GROUNDWATER: BLUE RIVER,173194,,,,5,36,,SUMMIT,39.533051,-106.039873,2019-04-05T09:51:34.8930000,,,,,,
3605210,SUMMIT MOTOR INN WELL NO 3689-F,"INN AT FAIRWAYS AUG PLAN, LOFTS @ TEN PEAKS (FORMER OWNER), LOGE BRECKENRIDGE, RADIFY BRECKENRIDGE DBA LOGE AT BRECKENRIDGE",A,WELL,GROUNDWATER: BLUE RIVER,173194,,,,5,36,,SUMMIT,39.532473,-106.039993,2019-04-05T10:00:15.6900000,,,,,,
3605211,DERCUM 15 WELLS,DUPL FOR ID 5248,D,WELL,GROUNDWATER: SNAKE RIVER,176197,,,,5,36,,SUMMIT,39.607612,-105.937744,1999-03-23T00:00:00.0000000,,,,,,
3605212,DAWDY WELL,ENTRADA WELL,A,WELL,GROUNDWATER: BLUE RIVER,173194,,1992-10-31T00:00:00.0000000,2020-10-31T00:00:00.0000000,5,36,,SUMMIT,39.49434,-106.044134,1987-05-05T00:00:00.0000000,,,,,,
3605213,RUSSELL WELL NO 109028,,U,WELL,GROUNDWATER: BLUE RIVER,173194,,1987-10-31T00:00:00.0000000,2002-10-31T00:00:00.0000000,5,36,,GRAND,39.94846,-106.352802,2003-12-29T12:56:00.0000000,,,,,,
3605214,COUNTRY BOY MINE SPRING,,A,SPRING,BLUE RIVER,173194,,1987-10-31T00:00:00.0000000,1992-10-31T00:00:00.0000000,5,36,,SUMMIT,39.480343,-106.014143,1997-05-28T00:00:00.0000000,,,,,,
3605215,GLEN HAVEN WELL NO1,,A,OTHER,BLUE RIVER,173194,49.94,,,5,36,,SUMMIT,39.557276,-106.048243,2014-03-24T20:12:08.9700000,,,,,,
3605216,SAYE WELL,,N,WELL,GROUNDWATER: BLUE RIVER,173194,,,,5,36,,SUMMIT,39.458397,-106.028325,2015-04-02T10:29:02.2270000,,,,,,
3605217,COPPER MOUNTAIN METRO DISTRICT WELL NO 1A,"CMCMD ALLUVIAL WELL NO 1A, COPPER MTN METRO",A,WELL,GROUNDWATER: WEST TENMILE CREEK,176173,,1985-10-31T00:00:00.0000000,2020-10-31T00:00:00.0000000,5,36,,SUMMIT,39.501716,-106.147792,2020-03-18T12:03:53.8430000,,,,,,
3605218,WILKONSON WELL,,N,WELL,GROUNDWATER: BLUE RIVER,173194,,1985-10-31T00:00:00.0000000,1988-10-31T00:00:00.0000000,5,36,,SUMMIT,39.458386,-106.033033,2015-04-02T10:31:31.6900000,,,,,,
3605219,EAGLES NEST WELL NO 1,,A,WELL,GROUNDWATER: BLUE RIVER,173194,,2000-11-30T00:00:00.0000000,2001-10-31T00:00:00.0000000,5,36,,SUMMIT,39.664293,-106.086977,1994-02-04T00:00:00.0000000,,,,,,
3605220,EAGLES NEST WELL NO 2,,A,WELL,GROUNDWATER: BLUE RIVER,173194,,,,5,36,,SUMMIT,39.663532,-106.086487,1994-02-04T00:00:00.0000000,,,,,,
3605221,SNAKE RIVER WATER DISTRICT WELL 1,SNAKE RIVER WATER DISTRICT WELL,A,WELL,GROUNDWATER: SNAKE RIVER,176197,,1985-10-31T00:00:00.0000000,2019-09-30T00:00:00.0000000,5,36,,SUMMIT,39.607455,-105.950629,2016-03-08T09:52:21.2900000,,,,,,
3605222,SNAKE RIVER WATER DISTRICT SUPPLEMENTAL WELL 1A,SNAKE RIVER WATER DISTRICT WELL,A,WELL,GROUNDWATER: SNAKE RIVER,176197,,1985-10-31T00:00:00.0000000,2020-10-31T00:00:00.0000000,5,36,,SUMMIT,39.606796,-105.966078,2016-03-08T09:54:13.4470000,,,,,,
3605223,SUNNYSIDE SPRING,,A,SPRING,FRENCH CREEK,183142,,,,5,36,,SUMMIT,39.480232,-105.957492,1994-02-04T00:00:00.0000000,,,,,,
3605224,TERRILL WELL NO 10309,,A,WELL,GROUNDWATER: BLUE RIVER,173194,,,,5,36,,SUMMIT,39.494011,-106.048723,1987-05-05T00:00:00.0000000,,,,,,
3605225,HAMILTON CREEK WELL NO 1,,A,WELL,GROUNDWATER: BLUE RIVER,173194,,1990-11-30T00:00:00.0000000,2014-10-31T00:00:00.0000000,5,36,,SUMMIT,39.667286,-106.066436,1987-05-05T00:00:00.0000000,,,,,,
3605226,HAMILTON CREEK WELL NO 2,,A,WELL,GROUNDWATER: BLUE RIVER,173194,,,,5,36,,SUMMIT,39.667133,-106.066445,1994-02-04T00:00:00.0000000,,,,,,
3605227,SWAN RIVER VALLEY WELLS,,H,WELL,GROUNDWATER: SWAN RIVER,176199,,,,5,36,,SUMMIT,39.530908,-106.004583,2015-04-02T10:34:17.9300000,,,,,,
3605228,COPPER MOUNTAIN METRO DISTRICT WELL NO 3,"CMCMD ALLUVIAL WELL NO 3, COPPER MTN METRO",A,WELL,GROUNDWATER: WEST TENMILE CREEK,176173,,1987-11-30T00:00:00.0000000,2020-10-31T00:00:00.0000000,5,36,,SUMMIT,39.501327,-106.149693,2020-03-18T12:04:34.9930000,,,,,,
3605229,BENSON WELL,,U,WELL,GROUNDWATER: BLUE RIVER,173194,,,,5,36,,SUMMIT,39.447108,-106.042369,1998-03-09T00:00:00.0000000,,,,,,
3605230,GLEN HAVEN WELL NO2,,A,OTHER,BLUE RIVER,173194,50.03,,,5,36,,SUMMIT,39.556658,-106.047873,2014-03-24T20:12:29.7200000,,,,,,
3605231,HALIFAX WELL,,U,WELL,GROUNDWATER: BLUE RIVER,173194,,,,5,36,,SUMMIT,39.445072,-106.028941,2017-10-04T08:33:26.0530000,,,,,,
3605232,JERUSALEM PLACER WELL,GOLDENVIEW WELLS 1-30,H,WELL,GROUNDWATER: ILLINOIS CREEK,179645,,,,5,36,,SUMMIT,39.467166,-106.007203,2018-03-10T15:21:37.8100000,,,,,,
3605233,SCHAKE SPRING NO 1,,A,SPRING,HARSHA GULCH,175607,,,,5,36,,GRAND,39.970406,-106.330956,2005-02-07T16:36:00.0000000,,,,,,
3605234,SCHAKE SPRING NO 4,,A,SPRING,HARSHA GULCH,175607,,,,5,36,,GRAND,39.970364,-106.32896,2002-05-07T00:00:00.0000000,,,,,,
3605235,SCHAKE SPRING NO 2,LAWSON RIDGE SPRG 277-01,A,SPRING,HARSHA GULCH,175607,,2003-10-31T00:00:00.0000000,2003-10-31T00:00:00.0000000,5,36,,GRAND,39.974035,-106.324153,2002-05-07T00:00:00.0000000,,,,,,
3605236,SCHAKE SPRING NO 3,LAWSON RIDGE SPRG 277-02,A,SPRING,HARSHA GULCH,175607,,,,5,36,,GRAND,39.974035,-106.324153,2002-05-07T00:00:00.0000000,,,,,,
3605237,GIBERSON PRESERVE WELL NO 2,,A,WELL,GROUNDWATER: MEADOW CREEK,176190,,1995-10-31T00:00:00.0000000,1996-10-31T00:00:00.0000000,5,36,,SUMMIT,39.596539,-106.095491,2016-04-18T14:39:39.3000000,,,,,,
3605238,SNAKE RIVER WATER DISTRICT SUPP WELL 1B,SNAKE RIVER WATER DISTRICT WELL,A,WELL,GROUNDWATER: SNAKE RIVER,176197,,1996-07-31T00:00:00.0000000,2020-10-31T00:00:00.0000000,5,36,,SUMMIT,39.60627,-105.965395,2018-03-10T15:27:37.2030000,,,,,,
3605239,SELDOM ACRES WELL 1,,A,WELL,GROUNDWATER: BLUE RIVER,173194,,,,5,36,,SUMMIT,39.561179,-106.049012,2012-12-12T16:33:11.5570000,,,,,,
